userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status
1001,17.00,634.00,1,9,7,2990,Installed
1002,0.00,54.00,0,4,8,24008,Uninstalled
1003,37.00,207.00,0,8,5,971,Installed
1004,32.00,445.00,1,6,2,799,Installed
1005,45.00,427.00,1,5,6,3668,Installed
1006,28.00,599.00,0,9,4,2878,Installed
1007,49.00,887.00,1,9,6,4481,Installed
1008,8.00,31.00,0,2,1,1715,Installed
1009,28.00,741.00,1,8,2,801,Installed
1010,28.00,524.00,1,8,4,4621,Installed
1011,44.00,688.00,1,8,5,1293,Installed
1012,24.00,466.00,1,10,4,4214,Installed
1013,1.00,49.00,0,3,7,9008,Installed
1014,41.00,845.00,0,10,7,3107,Installed
1015,32.00,251.00,0,5,4,2595,Installed
1016,11.00,169.00,0,10,3,577,Installed
1017,38.00,776.00,1,7,4,2965,Installed
1018,34.00,341.00,0,6,1,3124,Installed
1019,21.00,250.00,0,7,5,3460,Installed
1020,18.00,967.00,1,10,6,1925,Installed
1021,15.00,774.00,1,7,1,631,Installed
1022,34.00,482.00,0,6,8,4057,Installed
1023,11.00,645.00,1,9,2,2946,Installed
1024,26.00,688.00,0,9,4,4702,Installed
1025,34.00,400.00,0,8,4,4189,Installed
1026,48.00,73.00,1,10,2,2894,Installed
1027,33.00,460.00,0,9,2,1049,Installed
1028,49.00,848.00,0,5,4,419,Installed
1029,9.00,46.00,0,0,2,3273,Installed
1030,47.00,195.00,1,9,4,4060,Installed
1031,34.00,114.00,0,9,6,1148,Installed
1032,30.00,976.00,1,6,8,4784,Installed
1033,35.00,932.00,1,9,4,2808,Installed
1034,12.00,243.00,1,5,5,2920,Installed
1035,12.00,222.00,0,7,6,4096,Installed
1036,22.00,410.00,1,5,7,767,Installed
1037,3.00,70.00,0,5,3,3650,Installed
1038,0.00,96.00,0,4,6,4107,Installed
1039,1.00,97.00,0,1,7,37959,Uninstalled
1040,40.00,207.00,1,7,5,2425,Installed
1041,41.00,519.00,0,7,2,3511,Installed
1042,21.00,621.00,1,5,7,3471,Installed
1043,12.00,461.00,0,10,2,2571,Installed
1044,4.00,93.00,0,2,8,49334,Uninstalled
1045,17.00,800.00,0,10,5,520,Installed
1046,43.00,125.00,1,8,5,1553,Installed
1047,3.00,34.00,1,5,6,39016,Uninstalled
1048,50.00,405.00,0,8,4,4478,Installed
1049,19.00,654.00,0,6,5,1197,Installed
1050,44.00,908.00,1,10,3,3489,Installed
1051,25.00,875.00,1,9,8,644,Installed
1052,37.00,519.00,0,5,6,3408,Installed
1053,15.00,260.00,1,5,1,1353,Installed
1054,42.00,911.00,1,9,1,1356,Installed
1055,42.00,214.00,0,10,3,3575,Installed
1056,15.00,771.00,1,10,1,3339,Installed
1057,45.00,726.00,0,5,1,2587,Installed
1058,25.00,110.00,0,9,4,4704,Installed
1059,34.00,196.00,0,6,4,3410,Installed
1060,37.00,157.00,1,10,7,4131,Installed
1061,32.00,912.00,0,10,5,873,Installed
1062,5.00,67.00,0,2,6,30435,Uninstalled
1063,49.00,889.00,0,10,5,4991,Installed
1064,20.00,512.00,1,7,8,3847,Installed
1065,5.00,26.00,1,3,6,40868,Uninstalled
1066,49.00,202.00,0,6,2,1759,Installed
1067,32.00,234.00,1,9,2,2126,Installed
1068,37.00,966.00,1,7,2,794,Installed
1069,0.00,48.00,1,4,10,26405,Uninstalled
1070,8.00,98.00,1,3,7,2483,Installed
1071,49.00,723.00,0,9,3,1847,Installed
1072,43.00,738.00,0,5,6,4962,Installed
1073,39.00,528.00,0,6,2,4237,Installed
1074,35.00,881.00,1,10,8,1290,Installed
1075,9.00,90.00,0,0,2,453,Installed
1076,50.00,360.00,1,7,2,479,Installed
1077,40.00,811.00,1,10,8,4574,Installed
1078,46.00,398.00,0,7,2,4302,Installed
1079,41.00,384.00,1,7,6,4513,Installed
1080,11.00,974.00,0,10,4,4076,Installed
1081,22.00,222.00,0,10,6,4913,Installed
1082,18.00,990.00,1,6,7,3660,Installed
1083,39.00,266.00,0,9,4,550,Installed
1084,32.00,919.00,1,8,7,1477,Installed
1085,44.00,976.00,0,9,5,1710,Installed
1086,12.00,436.00,0,5,3,1070,Installed
1087,1.00,94.00,1,5,5,42101,Uninstalled
1088,46.00,320.00,0,9,4,1757,Installed
1089,6.00,17.00,1,4,4,893,Installed
1090,48.00,552.00,1,5,4,2273,Installed
1091,6.00,61.00,0,4,1,3506,Installed
1092,18.00,242.00,0,7,7,517,Installed
1093,15.00,543.00,0,10,6,4258,Installed
1094,1.00,8.00,1,0,15,33465,Uninstalled
1095,23.00,448.00,0,6,6,3292,Installed
1096,24.00,252.00,1,8,1,353,Installed
1097,0.00,66.00,1,0,2,4370,Installed
1098,10.00,42.00,1,2,8,3800,Installed
1099,45.00,940.00,0,5,4,2961,Installed
1100,3.00,75.00,1,4,12,41859,Uninstalled
1101,48.00,528.00,0,7,3,2836,Installed
1102,1.00,52.00,1,5,6,6836,Installed
1103,47.00,830.00,0,5,3,4354,Installed
1104,21.00,559.00,0,10,7,670,Installed
1105,9.00,74.00,1,3,2,2449,Installed
1106,17.00,804.00,1,9,2,1806,Installed
1107,25.00,733.00,0,9,2,4806,Installed
1108,45.00,663.00,1,5,7,1481,Installed
1109,30.00,763.00,1,9,2,3872,Installed
1110,0.00,23.00,0,1,15,22915,Uninstalled
