Number of declaration,Gender,Year,First name
46.0,M,2011,Yacine
60.0,M,2011,Youssef
7.0,F,2012,Abigail
46.0,M,2012,Achille
14.0,F,2012,Adélaïde
11.0,M,2012,Adil
77.0,F,2012,Alix
9.0,F,2012,Amel
7.0,M,2012,Amin
28.0,F,2012,Amina
5.0,F,2012,Annabelle
5.0,F,2012,Artémis
14.0,F,2012,Athénaïs
5.0,M,2012,Cameron
13.0,F,2012,Castille
17.0,F,2012,Céline
30.0,M,2012,Charlie
5.0,F,2012,Claudia
7.0,M,2012,Curtis
15.0,M,2012,Dan
7.0,F,2012,Dana
5.0,F,2012,Daphnée
70.0,F,2012,Diane
8.0,M,2012,El
6.0,F,2012,Éléa
72.0,F,2012,Elsa
5.0,F,2012,Elvire
22.0,M,2012,Elyes
5.0,M,2012,Félicien
14.0,M,2012,Haroun
165.0,M,2012,Hugo
11.0,M,2012,Ilan
64.0,F,2012,Iris
7.0,F,2012,Isabella
16.0,M,2012,Ismael
12.0,M,2012,Jack
126.0,F,2012,Jade
38.0,M,2012,Julien
8.0,M,2012,Leandro
127.0,M,2012,Léo
29.0,M,2012,Lino
17.0,F,2012,Livia
6.0,F,2012,Luisa
50.0,F,2012,Madeleine
8.0,F,2012,Mariame
17.0,M,2012,Mathys
5.0,F,2012,Meryam
17.0,F,2012,Naïla
8.0,F,2012,Nicole
27.0,M,2012,Nino
5.0,F,2012,Perla
6.0,F,2012,Perrine
5.0,F,2012,Ranim
51.0,M,2012,Romain
17.0,M,2012,Sam
94.0,M,2012,Samuel
9.0,M,2012,Sebastian
6.0,F,2012,Serine
15.0,F,2012,Solène
10.0,F,2012,Thalia
13.0,M,2012,Tidiane
7.0,M,2012,Tim
5.0,M,2012,Toma
19.0,F,2012,Valentina
6.0,M,2012,Zakary
13.0,F,2013,Aaliyah
332.0,M,2013,Adam
7.0,M,2013,Aden
229.0,F,2013,Alice
6.0,M,2013,Allan
20.0,M,2013,Ambroise
64.0,M,2013,Amine
22.0,M,2013,Anas
59.0,M,2013,Antonin
10.0,M,2013,Ariel
7.0,M,2013,Aristide
7.0,M,2013,Armel
15.0,F,2013,Colette
5.0,F,2013,Dana
5.0,F,2013,Daniella
7.0,M,2013,Dany
42.0,F,2013,Eden
23.0,F,2013,Emmy
103.0,M,2013,Enzo
8.0,M,2013,Eugène
7.0,M,2013,Eyal
8.0,F,2013,Fatma
5.0,M,2013,Filip
22.0,M,2013,Gaston
